Used_AI,AI_Tools,AI_Usage,AI_Effectiveness,AI_Disadvantages,AI_Tools_Heard,AI_News,AI_Expectations,Event_Participation
ある,"ChatGPT, Microsoft Copilot","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート, プログラミングなど制作活動, ロゴの作成",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた, 図を同じように生成してくれない","ChatGPT, Google Gemini, Microsoft Copilot, Apple Intelligence",iPhone16への搭載,5,する
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 考えごとのサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた",ChatGPT,大学生がレポートを書くのに生成AIを使うようになり、教授たちが対策していっている。,5,しない
ある,"ChatGPT, Google Gemini","検索・情報収集, 文章の生成、要約、添削, 考えごとのサポート, プログラミングなど制作活動",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini",,4,しない
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,,"ChatGPT, Google Gemini",,5,しない
ある,"ChatGPT, Google Gemini","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート, プログラミングなど制作活動",はい,回答が明らかに間違っていた,"ChatGPT, Google Gemini",aiが間違った情報を使った結果、小学生が理科のテストでほぼ全員間違えた,5,しない
ある,"ChatGPT, Google Gemini","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた, 何でもかんでも聞いてしまうと思考というプロセスを忘れてしまいそうで怖くなった","ChatGPT, Google Gemini, Microsoft Copilot",,4,したいがまだ未定
ある,"ChatGPT, Google Gemini","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, Sora",,5,する
ない,,,,,ChatGPT,,3,しない
ない,,,,,"ChatGPT, Microsoft Copilot",,2,しない
ある,"ChatGPT, Microsoft Copilot","文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,思ったように回答してもらえなかった,"ChatGPT, Microsoft Copilot",,3,行くか行かないかまだわからない
ある,"ChatGPT, Microsoft Copilot","文章の生成、要約、添削, 学習のサポート, 考えごとのサポート, プログラミングなど制作活動",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった","ChatGPT, Microsoft Copilot, Sora",AIでアニメをつくる,3,しない
ある,"ChatGPT, Google Gemini","検索・情報収集, AIとの会話・雑談",いいえ,回答が明らかに間違っていた,"ChatGPT, Google Gemini",,4,しない
ある,"ChatGPT, Microsoft Copilot","文章の生成、要約、添削, 学習のサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Microsoft Copilot",フェイクニュースの動画などに悪用されている,3,しない
ある,"ChatGPT, Google Gemini","文章の生成、要約、添削, 学習のサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini",,5,したいがまだ未定
ある,"ChatGPT, Microsoft Copilot, ","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった","ChatGPT, Microsoft Copilot",,4,したいがまだ未定
ない,,,,,"ChatGPT, Google Gemini",ディープフェイク,3,しない
ない,,,,,"ChatGPT, Google Gemini",石黒浩,4,しない
ない,,,,,"ChatGPT, Google Gemini",,4,しない
ない,,,,,,論文に使ったこと,4,したいがまだ未定
ある,ChatGPT,"文章の生成、要約、添削, 学習のサポート",はい,回答に信頼性が感じられなかった,Google Gemini,,4,しない
ある,"ChatGPT, Microsoft Copilot","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, プログラミングなど制作活動",はい,回答が明らかに間違っていた,"ChatGPT, Google Gemini, Microsoft Copilot, Sora",,4,しない
ある,ChatGPT,"AIとの会話・雑談, 文章の生成、要約、添削, プログラミングなど制作活動",はい,回答に信頼性が感じられなかった,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Sora","aiによって将来仕事が奪われる
",5,したいがまだ未定
ない,,,,,ChatGPT,,3,そもそも知らなかった
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削",はい,思ったように回答してもらえなかった,ChatGPT,,4,したいがまだ未定
